[run number];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;89;90;91;92;93;94;95;96;97;98;99;100
pa;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;1;1;1;1;1;1;1;1;1;1
[reporter];ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks;ticks
[final];65;93;72;46;68;71;75;60;135;74;17;42;23;23;31;41;15;50;27;34;75;23;15;18;22;9;19;9;12;17;19;25;26;11;20;67;28;15;49;18;34;16;40;25;31;10;10;7;6;22;14;20;13;17;11;5;16;28;24;9;11;6;5;19;16;14;10;6;23;18;6;4;5;11;7;8;9;12;13;7;6;6;4;2;5;10;5;6;9;4;5;26;23;4;5;8;7;6;9
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;5;5;5;5;5;5;5;5;5;5;;;5;5;5;5;5;;5;5;5;;5;5;5;5;5
;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;;6;6;6;6;6;6;;6;6;6;6;6;6;6;6;;;6;6;6;6;6;6;6;6;6;;;;6;;6;6;;;6;6;;;6;6;6;6
;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;;7;7;7;7;7;7;;7;7;7;7;7;;;7;7;7;7;;7;7;;;;7;7;7;7;7;7;7;;;;;;7;;;7;;;7;7;;;7;7;;7
;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;;;8;8;8;8;8;8;;8;8;8;8;8;;;8;8;8;8;;8;8;;;;8;;8;8;8;8;;;;;;;8;;;8;;;8;8;;;8;;;8
;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;;9;9;9;9;9;9;;9;9;9;9;9;;;9;9;9;9;;9;9;;;;9;;;9;9;9;;;;;;;9;;;9;;;9;9;;;;;;9
;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;;10;;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;;;10;10;10;10;10;10;;10;10;10;;10;;;10;10;10;10;;10;10;;;;10;;;;10;10;;;;;;;10;;;;;;10;10;;;;;;
;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;;11;;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;;;;;11;11;11;11;11;11;;11;11;11;;11;;;11;11;11;;;11;11;;;;11;;;;11;11;;;;;;;;;;;;;11;11;;;;;;
;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;;12;;12;12;12;12;12;;12;12;12;12;12;12;12;12;12;12;12;;;;;12;12;12;12;12;;;12;12;12;;;;;12;12;12;;;12;12;;;;;;;;12;12;;;;;;;;;;;;;12;12;;;;;;
;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;;13;;;13;13;13;13;;13;13;13;13;13;13;13;13;13;13;13;;;;;13;13;13;13;13;;;13;13;13;;;;;13;13;13;;;13;13;;;;;;;;;13;;;;;;;;;;;;;13;13;;;;;;
;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;;14;;;14;14;14;14;;14;14;14;14;14;14;14;14;14;14;14;;;;;14;14;14;;14;;;14;14;14;;;;;14;14;14;;;14;14;;;;;;;;;;;;;;;;;;;;;;14;14;;;;;;
;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;;15;;;15;15;15;15;;15;15;15;15;15;15;15;15;15;15;15;;;;;15;;15;;15;;;15;15;15;;;;;15;15;;;;15;15;;;;;;;;;;;;;;;;;;;;;;15;15;;;;;;
;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;;16;16;16;16;16;;16;16;;16;;;16;16;16;16;;16;16;16;;16;16;16;16;16;16;16;;;;;16;;16;;16;;;16;16;16;;;;;16;16;;;;16;16;;;;;;;;;;;;;;;;;;;;;;16;16;;;;;;
;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;;17;17;17;17;17;;17;17;;17;;;17;17;17;17;;17;17;17;;17;17;17;;17;17;17;;;;;17;;17;;17;;;;17;17;;;;;17;;;;;17;17;;;;;;;;;;;;;;;;;;;;;;17;17;;;;;;
;18;18;18;18;18;18;18;18;18;18;;18;18;18;18;18;;18;18;18;18;18;;18;18;;18;;;;18;18;18;;18;18;18;;18;18;18;;18;18;18;;;;;18;;18;;;;;;18;18;;;;;18;;;;;18;18;;;;;;;;;;;;;;;;;;;;;;18;18;;;;;;
;19;19;19;19;19;19;19;19;19;19;;19;19;19;19;19;;19;19;19;19;19;;;19;;19;;;;19;19;19;;19;19;19;;19;;19;;19;19;19;;;;;19;;19;;;;;;19;19;;;;;19;;;;;19;;;;;;;;;;;;;;;;;;;;;;;19;19;;;;;;
;20;20;20;20;20;20;20;20;20;20;;20;20;20;20;20;;20;20;20;20;20;;;20;;;;;;;20;20;;20;20;20;;20;;20;;20;20;20;;;;;20;;20;;;;;;20;20;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;20;20;;;;;;
;21;21;21;21;21;21;21;21;21;21;;21;21;21;21;21;;21;21;21;21;21;;;21;;;;;;;21;21;;;21;21;;21;;21;;21;21;21;;;;;21;;;;;;;;21;21;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;21;21;;;;;;
;22;22;22;22;22;22;22;22;22;22;;22;22;22;22;22;;22;22;22;22;22;;;22;;;;;;;22;22;;;22;22;;22;;22;;22;22;22;;;;;22;;;;;;;;22;22;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;22;22;;;;;;
;23;23;23;23;23;23;23;23;23;23;;23;23;23;23;23;;23;23;23;23;23;;;;;;;;;;23;23;;;23;23;;23;;23;;23;23;23;;;;;;;;;;;;;23;23;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;23;23;;;;;;
;24;24;24;24;24;24;24;24;24;24;;24;;;24;24;;24;24;24;24;;;;;;;;;;;24;24;;;24;24;;24;;24;;24;24;24;;;;;;;;;;;;;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;
;25;25;25;25;25;25;25;25;25;25;;25;;;25;25;;25;25;25;25;;;;;;;;;;;25;25;;;25;25;;25;;25;;25;25;25;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;
;26;26;26;26;26;26;26;26;26;26;;26;;;26;26;;26;26;26;26;;;;;;;;;;;;26;;;26;26;;26;;26;;26;;26;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;
;27;27;27;27;27;27;27;27;27;27;;27;;;27;27;;27;27;27;27;;;;;;;;;;;;;;;27;27;;27;;27;;27;;27;;;;;;;;;;;;;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;28;28;28;28;28;28;28;28;28;28;;28;;;28;28;;28;;28;28;;;;;;;;;;;;;;;28;28;;28;;28;;28;;28;;;;;;;;;;;;;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;29;29;29;29;29;29;29;29;29;29;;29;;;29;29;;29;;29;29;;;;;;;;;;;;;;;29;;;29;;29;;29;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;30;30;30;30;30;30;30;30;30;30;;30;;;30;30;;30;;30;30;;;;;;;;;;;;;;;30;;;30;;30;;30;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;31;31;31;31;31;31;31;31;31;31;;31;;;31;31;;31;;31;31;;;;;;;;;;;;;;;31;;;31;;31;;31;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;32;32;32;32;32;32;32;32;32;32;;32;;;;32;;32;;32;32;;;;;;;;;;;;;;;32;;;32;;32;;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;33;33;33;33;33;33;33;33;33;33;;33;;;;33;;33;;33;33;;;;;;;;;;;;;;;33;;;33;;33;;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;34;34;34;34;34;34;34;34;34;34;;34;;;;34;;34;;34;34;;;;;;;;;;;;;;;34;;;34;;34;;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;35;35;35;35;35;35;35;35;35;35;;35;;;;35;;35;;;35;;;;;;;;;;;;;;;35;;;35;;;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;36;36;36;36;36;36;36;36;36;36;;36;;;;36;;36;;;36;;;;;;;;;;;;;;;36;;;36;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;37;37;37;37;37;37;37;37;37;37;;37;;;;37;;37;;;37;;;;;;;;;;;;;;;37;;;37;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;38;38;38;38;38;38;38;38;38;38;;38;;;;38;;38;;;38;;;;;;;;;;;;;;;38;;;38;;;;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;39;39;39;39;39;39;39;39;39;39;;39;;;;39;;39;;;39;;;;;;;;;;;;;;;39;;;39;;;;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;40;40;40;40;40;40;40;40;40;40;;40;;;;40;;40;;;40;;;;;;;;;;;;;;;40;;;40;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;41;41;41;41;41;41;41;41;41;41;;41;;;;41;;41;;;41;;;;;;;;;;;;;;;41;;;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;42;42;42;42;42;42;42;42;42;42;;42;;;;;;42;;;42;;;;;;;;;;;;;;;42;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;43;43;43;43;43;43;43;43;43;43;;;;;;;;43;;;43;;;;;;;;;;;;;;;43;;;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;44;44;44;44;44;44;44;44;44;44;;;;;;;;44;;;44;;;;;;;;;;;;;;;44;;;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;45;45;45;45;45;45;45;45;45;45;;;;;;;;45;;;45;;;;;;;;;;;;;;;45;;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;46;46;46;46;46;46;46;46;46;46;;;;;;;;46;;;46;;;;;;;;;;;;;;;46;;;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;47;47;47;;47;47;47;47;47;47;;;;;;;;47;;;47;;;;;;;;;;;;;;;47;;;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;48;48;48;;48;48;48;48;48;48;;;;;;;;48;;;48;;;;;;;;;;;;;;;48;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;49;49;49;;49;49;49;49;49;49;;;;;;;;49;;;49;;;;;;;;;;;;;;;49;;;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;50;50;50;;50;50;50;50;50;50;;;;;;;;50;;;50;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;51;51;51;;51;51;51;51;51;51;;;;;;;;;;;51;;;;;;;;;;;;;;;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;52;52;52;;52;52;52;52;52;52;;;;;;;;;;;52;;;;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;53;53;53;;53;53;53;53;53;53;;;;;;;;;;;53;;;;;;;;;;;;;;;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;54;54;54;;54;54;54;54;54;54;;;;;;;;;;;54;;;;;;;;;;;;;;;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;55;55;55;;55;55;55;55;55;55;;;;;;;;;;;55;;;;;;;;;;;;;;;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;56;56;56;;56;56;56;56;56;56;;;;;;;;;;;56;;;;;;;;;;;;;;;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;57;57;57;;57;57;57;57;57;57;;;;;;;;;;;57;;;;;;;;;;;;;;;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;58;58;58;;58;58;58;58;58;58;;;;;;;;;;;58;;;;;;;;;;;;;;;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;59;59;59;;59;59;59;59;59;59;;;;;;;;;;;59;;;;;;;;;;;;;;;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;60;60;60;;60;60;60;60;60;60;;;;;;;;;;;60;;;;;;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;61;61;61;;61;61;61;;61;61;;;;;;;;;;;61;;;;;;;;;;;;;;;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;62;62;62;;62;62;62;;62;62;;;;;;;;;;;62;;;;;;;;;;;;;;;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;63;63;63;;63;63;63;;63;63;;;;;;;;;;;63;;;;;;;;;;;;;;;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;64;64;64;;64;64;64;;64;64;;;;;;;;;;;64;;;;;;;;;;;;;;;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;65;65;65;;65;65;65;;65;65;;;;;;;;;;;65;;;;;;;;;;;;;;;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;66;66;;66;66;66;;66;66;;;;;;;;;;;66;;;;;;;;;;;;;;;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;67;67;;67;67;67;;67;67;;;;;;;;;;;67;;;;;;;;;;;;;;;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;68;68;;68;68;68;;68;68;;;;;;;;;;;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;69;69;;;69;69;;69;69;;;;;;;;;;;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;70;70;;;70;70;;70;70;;;;;;;;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;71;71;;;71;71;;71;71;;;;;;;;;;;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
